Cod Produto,Nome Produto,Preco Lista,Preco,Base Preco,Ref Marca,Trade Policy,Skuid,Id Listapreco,Canal Venda,Data Alterado
1,Limpador Sanitário,15.5,,,,1,20,1,1,2023-05-17 22:44:12.660000
2,Espanadeira De Plástico,7.7,,,,1,21,1,1,2023-05-17 22:44:12.660000
3,Escova Sanitária,7.7,,,,1,22,1,1,2023-05-17 22:44:12.660000
4,Corda Para Varal De 15 Metros,10.9,,,,1,23,1,1,2023-05-17 22:44:12.660000
5,Escova Sanitária Com Estojo,9.6,,,,1,24,1,1,2023-05-17 22:44:12.660000
6,Corda Para Varal De 10 Metros,10.9,,,,1,25,1,1,2023-05-17 22:44:12.660000
7,Rodo Para Pia,6.0,,,,1,26,1,1,2023-05-17 22:44:12.660000
8,Prendedor De Roupa De Madeira,4.0,,,,1,28,1,1,2023-05-17 22:44:12.660000
9,Água Sanitária Esfrelux 2 litros,7.2,,,,1,146,1,1,2023-05-17 22:44:12.660000
10,Alvejante Sem Cloro Esfrelux 1 litro,4.1,,,,1,147,1,1,2023-05-17 22:44:12.660000
11,Álcool Em Gel Esfrelux 500 ml,10.8,,,,1,148,1,1,2023-05-17 22:44:12.660000
12,Limpa Vidros Esfrelux Spray 500 ml,7.2,,,,1,149,1,1,2023-05-17 22:44:12.660000
13,Prendedor De Roupa Grande,5.4,,,,1,29,1,1,2023-05-17 22:44:12.660000
14,Limpa Vidros Esfrelux Refil 500 ml,3.6,,,,1,150,1,1,2023-05-17 22:44:12.660000
15,Desinfetante Esfrelux Lavanda 500 ml,2.5,,,,1,151,1,1,2023-05-17 22:44:12.660000
16,Desinfetante Esfrelux Floral 500 ml,2.5,,,,1,152,1,1,2023-05-17 22:44:12.660000
17,Desinfetante Esfrelux Citrus 500 ml,2.5,,,,1,153,1,1,2023-05-17 22:44:12.660000
18,Desinfetante Esfrelux Algas Marinhas 500 ml,2.5,,,,1,154,1,1,2023-05-17 22:44:12.660000
19,Capacho Anti-Derrapante,29.0,,,,1,32,1,1,2023-05-17 22:44:12.660000
20,Desinfetante Esfrelux Pinho 500 ml,2.5,,,,1,155,1,1,2023-05-17 22:44:12.660000
21,Desinfetante Esfrelux Eucalipto 500 ml,2.5,,,,1,156,1,1,2023-05-17 22:44:12.660000
22,Tábua De Carne,19.3,,,,1,33,1,1,2023-05-17 22:44:12.660000
23,Desinfetante Esfrelux Lavanda 2 L,6.3,,,,1,157,1,1,2023-05-17 22:44:12.660000
24,Pá Para Lixo Cabo Longo,15.7,,,,1,34,1,1,2023-05-17 22:44:12.660000
25,Desinfetante Esfrelux Floral 2 L,6.3,,,,1,158,1,1,2023-05-17 22:44:12.660000
26,Pá Para Lixo E Espanadeira,16.1,,,,1,35,1,1,2023-05-17 22:44:12.660000
27,Desinfetante Esfrelux Citrus 2 L,6.3,,,,1,159,1,1,2023-05-17 22:44:12.660000
28,Pá Plástica Para Lixo,7.2,,,,1,36,1,1,2023-05-17 22:44:12.660000
29,Desinfetante Esfrelux Algas Marinhas 2 L,6.3,,,,1,160,1,1,2023-05-17 22:44:12.660000
30,Cabide Com 3 Unidades Infantil,7.2,,,,1,37,1,1,2023-05-17 22:44:12.660000
31,Desinfetante Esfrelux Pinho 2 L,6.3,,,,1,161,1,1,2023-05-17 22:44:12.660000
32,Desinfetante Esfrelux Eucalipto 2 L,6.3,,,,1,162,1,1,2023-05-17 22:44:12.660000
33,Cabide Com 3 Unidades Adulto,9.7,,,,1,38,1,1,2023-05-17 22:44:12.660000
34,Limpador Perfumado Esfrelux Sensualidade 500 ml,3.6,,,,1,163,1,1,2023-05-17 22:44:12.660000
35,Mop Refil De Microfibra,37.5,,,,1,39,1,1,2023-05-17 22:44:12.660000
36,Limpador Perfumado Esfrelux Harmonia 500 ml,3.7,,,,1,164,1,1,2023-05-17 22:44:12.660000
37,"Kit Acessórios Para Cabeleireiros Para Tintura Com Pote Para Tintura, Pincel Com Pente e Capa Termoplástica",29.4,,,,1,638,1,1,2023-05-17 22:44:12.660000
38,"Kit Escovas de Cabelo Yellow Hit Tamanhos Variados 40, 35 e 25 mm",120.7,,,,1,640,1,1,2023-05-17 22:44:12.660000
39,Kit Escovas De Cabelo Para o Dia a Dia,52.5,,,,1,641,1,1,2023-05-17 22:44:12.660000
40,"Kit Escova de Cabelo Atria, Sirius e Adhara",128.8,,,,1,642,1,1,2023-05-17 22:44:12.660000
41,"Kit Escovas De Cabelo Spiral, Miss e Purple Hit",129.1,,,,1,643,1,1,2023-05-17 22:44:12.660000
42,Kit Bamboo Hit Com Escovas De Cabelo e Luva Para Lavar e Massagear a Pele,88.8,,,,1,644,1,1,2023-05-17 22:44:12.660000
43,"Kit Escovas De Cabelo Sensitive, Soft e Thermal Hit",124.6,,,,1,645,1,1,2023-05-17 22:44:12.660000
44,Caixa Com 6 Unidades De Mop Flat Chenille,376.1,,,,1,504,1,1,2023-05-17 22:44:12.660000
45,Kit Escovas De Cabelo Antares De Madeira,93.0,,,,1,646,1,1,2023-05-17 22:44:12.660000
46,Caixa Com 6 Unidades De Mop Refil Chenille,114.7,,,,1,505,1,1,2023-05-17 22:44:12.660000
47,Kit Escovas De Cabelo Antares Plástica,35.7,,,,1,647,1,1,2023-05-17 22:44:12.660000
48,Caixa Com 6 Unidades De Mop Esfregão Absorvente POP,382.7,,,,1,506,1,1,2023-05-17 22:44:12.660000
49,Caixa Com 6 Unidades De Mop Refil Esfregão Absorvente POP,254.7,,,,1,507,1,1,2023-05-17 22:44:12.660000
50,Caixa Com 6 Unidades De Mop Limp Lave,152.6,,,,1,508,1,1,2023-05-17 22:44:12.660000
51,Saco Para Lixo Vip 15 Litros Em Rolo Com 20 Unidades Com 12 Rolos ATACADO,32.2,,,,1,509,1,1,2023-05-17 22:44:12.660000
52,Saco Para Lixo Vip 30 Litros Em Rolo Com 20 Unidades Com 12 Rolos ATACADO,69.7,,,,1,510,1,1,2023-05-17 22:44:12.660000
53,Saco Para Lixo Vip 50 Litros Em Rolo Com 20 Unidades Com 12 Rolos ATACADO,78.8,,,,1,511,1,1,2023-05-17 22:44:12.660000
54,Saco Para Lixo Vip 100 Litros Em Rolo Com 15 Unidades Com 12 Rolos ATACADO,104.0,,,,1,512,1,1,2023-05-17 22:44:12.660000
55,Caixa Com 12 Rolos De Saco Para Lixo Em Rolo De 15 Litros Esfrelux Econômico Com 60 Unidades,123.8,,,,1,513,1,1,2023-05-17 22:44:12.660000
56,Caixa Com 20 Kits De Cabide Adulto Com 3 Unidades Cada,144.8,,,,1,537,1,1,2023-05-17 22:44:12.660000
57,Kit Hora de Cuidar da Roupa Santa Maria,47.3,,,,1,538,1,1,2023-05-17 22:44:12.660000
58,Kit Queridinhos Santa Maria,73.4,,,,1,539,1,1,2023-05-17 22:44:12.660000
59,Kit Essencial Santa Maria,137.5,,,,1,540,1,1,2023-05-17 22:44:12.660000
60,Kit Casa Nova Santa Maria,168.0,,,,1,541,1,1,2023-05-17 22:44:12.660000
61,Caixa Com 60 Pacotes De Esponja Esfrelux Multiuso Com Formato Protetor De Unhas,111.5,,,,1,443,1,1,2023-05-17 22:44:12.660000
62,Caixa Com 60 Pacotes De Esponja Esfrelux Soft Com Formato Protetor De Unhas,155.3,,,,1,444,1,1,2023-05-17 22:44:12.660000
63,Caixa Com 60 Pacotes De Esponja Esfrelux Antiaderente Com Formato Protetor De Unhas,117.7,,,,1,445,1,1,2023-05-17 22:44:12.660000
64,Caixa Com 60 Pacotes De Esponja Esfrelux Multiuso Com Formato Protetor De Unhas Com 3 Unidades,355.4,,,,1,446,1,1,2023-05-17 22:44:12.660000
65,Caixa Com 12 Unidades De Esponja Esfrelux Limpa Fácil Com Cabo,209.7,,,,1,448,1,1,2023-05-17 22:44:12.660000
66,Caixa Com 12 Unidades De Esponja Esfrelux Multiuso Com Cabo,211.4,,,,1,449,1,1,2023-05-17 22:44:12.660000
67,Caixa Com 60 Pacotes De Esponja Esfrelux Multiuso Mega Bloco,149.3,,,,1,450,1,1,2023-05-17 22:44:12.660000
68,Caixa Com 12 Unidades De Esponja Para Banho de Nylon,43.6,,,,1,451,1,1,2023-05-17 22:44:12.660000
69,Caixa Com 60 Unidades De Esponja Splum Para Banho Laqua Leve 3 Pague 2,190.9,,,,1,452,1,1,2023-05-17 22:44:12.660000
70,Caixa Com 24 Unidades De Esponja Splum Para Banho Baby Fragance,115.1,,,,1,453,1,1,2023-05-17 22:44:12.660000
71,Caixa Com 12 Unidades De Esponja Esfrelux Limpa Fácil Sem Cabo,192.6,,,,1,454,1,1,2023-05-17 22:44:12.660000
72,Caixa Com 12 Unidades De Esponja Esfrelux Multiuso Sem Cabo,171.5,,,,1,455,1,1,2023-05-17 22:44:12.660000
73,Caixa Com 24 Unidades De Lava Louças Líquido Esfrelux Neutro De 500 ml,47.52,,,,1,456,1,1,2023-05-17 22:44:12.660000
74,Caixa Com 24 Unidades De Lava Louças Líquido Esfrelux Clear De 500 ml,36.3,,,,1,457,1,1,2023-05-17 22:44:12.660000
75,Caixa Com 24 Unidades De Lava Louças Líquido Esfrelux Limão De 500 ml,36.3,,,,1,458,1,1,2023-05-17 22:44:12.660000
76,Caixa Com 24 Unidades De Lava Louças Líquido Esfrelux Maçã  De 500 ml,36.3,,,,1,459,1,1,2023-05-17 22:44:12.660000
77,Caixa Com 24 Unidades De Lava Louças Líquido Esfrelux Coco De 500 ml,36.3,,,,1,460,1,1,2023-05-17 22:44:12.660000
78,Caixa Com 12 Unidades De Limpador Multiuso Esfrelux Classic 500 ml,36.9,,,,1,461,1,1,2023-05-17 22:44:12.660000
79,Caixa Com 12 Unidades De Limpador Multiuso Esfrelux Forte 500 ml,44.3,,,,1,462,1,1,2023-05-17 22:44:12.660000
80,Caixa Com 12 Unidades De Lava Roupas Líquido Esfrelux 1 L,83.1,,,,1,463,1,1,2023-05-17 22:44:12.660000
